audio_id,oss_key,gpu_local_path,official_source_path,duration_sec,file_bytes,oss_etag,format,sample_rate,channels,bit_depth,status
track_0000955,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0000955.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0000955.mp3,55/955.mp3,217.5,2895486,A205066F4E861115BA357A904AB79AE9,mp3,44100,2,low-bitrate,archived
track_0002211,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0002211.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0002211.mp3,11/2211.mp3,292.9,3651126,7312B9C262BADAFE42B3E2797DFFCCEF,mp3,44100,2,low-bitrate,archived
track_0002212,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0002212.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0002212.mp3,12/2212.mp3,323.8,4122815,7F9A7E716CFF534DCD322314CA7C93B3,mp3,44100,2,low-bitrate,archived
track_0002213,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0002213.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0002213.mp3,13/2213.mp3,242.4,3107301,7ABF38B810D3F92BC3CD9EF4B6605372,mp3,44100,2,low-bitrate,archived
track_0002214,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0002214.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0002214.mp3,14/2214.mp3,526.4,6364268,2A2EA7C6F10A1973A9171B9E3172D05E,mp3,44100,2,low-bitrate,archived
track_0002215,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0002215.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0002215.mp3,15/2215.mp3,281.1,3508661,B26626567E25FF021F8A15D668BE1E5B,mp3,44100,2,low-bitrate,archived
track_0002216,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0002216.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0002216.mp3,16/2216.mp3,440.5,5226800,629D950B8890C827A7DB999BEC1B2943,mp3,44100,2,low-bitrate,archived
track_0002217,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0002217.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0002217.mp3,17/2217.mp3,285.9,3598545,9847D25453EC677918D79A755B73B024,mp3,44100,2,low-bitrate,archived
track_0002218,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0002218.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0002218.mp3,18/2218.mp3,443.8,5572204,0A37E084F5AF9110C285FD5E1E8E6C58,mp3,44100,2,low-bitrate,archived
track_0002249,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0002249.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0002249.mp3,49/2249.mp3,174.4,1986947,3FFB8589A56BD263B967DE91897953EF,mp3,44100,2,low-bitrate,archived
track_0003911,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0003911.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0003911.mp3,11/3911.mp3,159.9,1950098,DA5638A1B7F8DCD69868309FCC9ED248,mp3,44100,2,low-bitrate,archived
track_0003914,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0003914.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0003914.mp3,14/3914.mp3,312.3,3826691,B2D0A20F8094138F52B0C45A6BCE2490,mp3,44100,2,low-bitrate,archived
track_0003933,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0003933.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0003933.mp3,33/3933.mp3,307.4,3844906,5B46BB732436ABAC83B02A32BC0CC384,mp3,44100,2,low-bitrate,archived
track_0003935,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0003935.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0003935.mp3,35/3935.mp3,134.9,1489998,DAC5161393B1F65F9FB88504BAB9A0DD,mp3,44100,2,low-bitrate,archived
track_0003936,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0003936.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0003936.mp3,36/3936.mp3,688.4,8234762,ABB55C5AE978361BC629E6B1F3A2A668,mp3,44100,2,low-bitrate,archived
track_0003939,dataset/mtg-jamendo/jazz_test_500_audio-low/track_0003939.mp3,/root/autodl-tmp/jazz_500_audio-low/track_0003939.mp3,39/3939.mp3,481.8,5793298,F4BE277ED28485F07D1A169E6B693C57,mp3,44100,2,low-bitrate,archived
