audio_id,file_relative_path,original_filename,format,sample_rate,bit_depth,channels,duration_sec,file_bytes,sha256,import_timestamp,status,source_type,artist_id,song_group_id,is_golden,source_type_marked,master_path,master_md5,master_status,cluster_id,cluster_center_dist,hdbscan_label,hdbscan_outlier,hdbscan_probability,sample_type,golden_status,in_knn_pool,golden_version,review_status,golden_sampling_strategy,legacy_audio_id,source_split_candidate,actual_split,in_train_training
3C6F3F3C4839423DB83F7A55CD,raw_audio/b4/2f/b42fa4c7c5897dd4a01e5a6803987def04ddb642a6f032dd36ab63f16cbd5101_3C6F3F3C4839423DB83F7A55CD.m4a,28 (They Long To Be) Close To You.m4a,m4a,44100,lossy,2,220.8,7395134,b42fa4c7c5897dd4a01e5a6803987def04ddb642a6f032dd36ab63f16cbd5101,2026-08-26T07:25:15.304696,active,normal,unknown_3C6F3F3C,unknown_song_3C6F3F3C,False,False,/Users/m.jian/music_corpus_project/data/01_preprocess/processed_master/27/33/2733d5adb3bec1888f2d636206945143_3C6F3F3C4839423DB83F7A55CD.flac,300db312d40b1be5ce0d00372709aacd,success,4,0.58055884,1,False,0.9920121133570016,normal,,True,,,,,train,train,True
A7E56197254D451CB98808C9BD,raw_audio/a1/65/a1655bedcc594e5e8711f2737ea3a1328049ee1f8ca3de03e669c7cfd855e9d9_A7E56197254D451CB98808C9BD.m4a,15 I Just Fall In Love Again.m4a,m4a,44100,lossy,2,243.93,8151785,a1655bedcc594e5e8711f2737ea3a1328049ee1f8ca3de03e669c7cfd855e9d9,2026-08-26T07:25:15.372771,active,normal,unknown_A7E56197,unknown_song_A7E56197,False,False,/Users/m.jian/music_corpus_project/data/01_preprocess/processed_master/b6/16/b616242566f26ad4ea0bf6327d96471d_A7E56197254D451CB98808C9BD.flac,74b706a24cbb4d85323d492aae2b8116,success,1,0.65567493,-1,True,0.0,normal,,True,,,,,val,val,True
8DDE7F1A99A0441C9A1564A6D7,raw_audio/47/97/4797c6e175922c5f92ae118f904cd97a17b2d09ad87fdc9ef44882b534f13846_8DDE7F1A99A0441C9A1564A6D7.m4a,01 Yesterday Once More.m4a,m4a,44100,lossy,2,239.33,7875768,4797c6e175922c5f92ae118f904cd97a17b2d09ad87fdc9ef44882b534f13846,2026-08-26T07:25:15.439211,active,normal,unknown_8DDE7F1A,unknown_song_8DDE7F1A,False,False,/Users/m.jian/music_corpus_project/data/01_preprocess/processed_master/21/38/21388d483685392599b87ce59a72e412_8DDE7F1A99A0441C9A1564A6D7.flac,f3dcb3709c72f651cf77c8a8c2d6b9fb,success,1,0.62269545,1,False,1.0,normal,,True,,,,,val,val,True
8384A4DBF2B24CF98148BC9190,raw_audio/c4/db/c4db8309a0ae528645129a242f37ad427641ed84852881ba7fc94c20ef285d4e_8384A4DBF2B24CF98148BC9190.flac,椎名林檎 - The Creamy Season.flac,flac,48000,PCM_16,2,217.96,46113398,c4db8309a0ae528645129a242f37ad427641ed84852881ba7fc94c20ef285d4e,2026-08-26T07:25:15.607738,active,normal,artist:椎名林檎,song:椎名林檎:The Creamy Season,False,False,/Users/m.jian/music_corpus_project/data/01_preprocess/processed_master/0e/9a/0e9acc45adb725da51a956d67bb12d6e_8384A4DBF2B24CF98148BC9190.flac,d729d831a08e137ca9c059ec7465811a,success,1,0.705381,-1,True,0.0,normal,,True,,,,,train,train,True
CDF8316BBDD2488A877E675E8F,raw_audio/0f/eb/0febb0ea858bdfb254b78be13bfa02a9b87805858b11dfe7fe51ee4b97ea05c6_CDF8316BBDD2488A877E675E8F.flac,五月天 - 因为你 所以我.flac,flac,48000,PCM_16,2,261.25,54273725,0febb0ea858bdfb254b78be13bfa02a9b87805858b11dfe7fe51ee4b97ea05c6,2026-08-26T07:25:15.792442,active,normal,artist:五月天,song:五月天:因为你 所以我,False,False,/Users/m.jian/music_corpus_project/data/01_preprocess/processed_master/50/5e/505ee9fab4e5e675b126bcaf4755d316_CDF8316BBDD2488A877E675E8F.flac,ef4405d97c9d77b2cf0d255dad94e640,success,3,0.6214692,1,False,0.9142883185139938,normal,,True,,,,,train,train,True
BEF3CF9662D841528BDB33BFAF,raw_audio/65/ff/65ffad17fdf4d83b96a19dc0590fbf58b420e81c70af10b371499fc941db1516_BEF3CF9662D841528BDB33BFAF.flac,AKB48 - ヘビーローテーション.flac,flac,48000,PCM_16,2,263.04,56294347,65ffad17fdf4d83b96a19dc0590fbf58b420e81c70af10b371499fc941db1516,2026-08-26T07:25:16.002322,active,normal,artist:AKB48,song:AKB48:ヘビーローテーション,False,False,/Users/m.jian/music_corpus_project/data/01_preprocess/processed_master/13/fa/13faceed5f8908d6b953a52caad685c2_BEF3CF9662D841528BDB33BFAF.flac,766bb839bc3e6d92301581868f53ad8d,success,1,0.6495937,-1,True,0.0,normal,,True,,,,,train,train,True
6835D62222154FA6B0509AA881,raw_audio/cf/48/cf48f712c2a76d44560d0b4c4c6ff54e4bcf8e7e5c2a30f849a30a6d1674095c_6835D62222154FA6B0509AA881.flac,大贯妙子 - 若き日の望楼.flac,flac,48000,PCM_16,2,200.85,39078656,cf48f712c2a76d44560d0b4c4c6ff54e4bcf8e7e5c2a30f849a30a6d1674095c,2026-08-26T07:25:16.149333,active,normal,artist:大贯妙子,song:大贯妙子:若き日の望楼,False,False,/Users/m.jian/music_corpus_project/data/01_preprocess/processed_master/81/50/81509c6554cf636a9e6f74a29b22f548_6835D62222154FA6B0509AA881.flac,43a532c1ccf9c2429c09b724b79941d1,success,2,0.76656574,-1,True,0.0,normal,,True,,,,,train,train,True
1EDDB5EFB16E4A36AFFFAC2132,raw_audio/e4/1a/e41a79614d588f45261cc70849752fdc50b8ec3b8f08229d2a933b44d40beda0_1EDDB5EFB16E4A36AFFFAC2132.flac,La La Land - Another Day of Sun.flac,flac,48000,PCM_16,2,210.33,44475751,e41a79614d588f45261cc70849752fdc50b8ec3b8f08229d2a933b44d40beda0,2026-08-26T07:25:16.304201,active,normal,artist:La La Land,song:La La Land:Another Day of Sun,False,False,/Users/m.jian/music_corpus_project/data/01_preprocess/processed_master/08/76/0876de68a0757759bc041ec8881189b7_1EDDB5EFB16E4A36AFFFAC2132.flac,8663cfd174e8776a73d76cc96d793713,success,1,0.55249393,1,False,1.0,normal,,True,,,,,train,train,True
146D04DCF3BB4D56B68F9DD25C,raw_audio/20/06/2006030bbba6c4e093cf5aa6ca4db0252998082e238484702e1d17b44656aa26_146D04DCF3BB4D56B68F9DD25C.flac,安德烈波切利 - Love Me Tender.flac,flac,48000,PCM_16,2,213.0,37486592,2006030bbba6c4e093cf5aa6ca4db0252998082e238484702e1d17b44656aa26,2026-08-26T07:25:16.463542,active,normal,artist:安德烈波切利,song:安德烈波切利:Love Me Tender,False,False,/Users/m.jian/music_corpus_project/data/01_preprocess/processed_master/a8/8b/a88b650a4d0964f6844cb5028ce68d7b_146D04DCF3BB4D56B68F9DD25C.flac,332b4fc3ac697aaf11d4b681526d1821,success,0,0.5815202,1,False,0.9111995905629808,normal,,True,,,,,train,train,True
364CBB655E7D4A90B83A060A39,raw_audio/7c/34/7c3447d9032b1c48c8e98011508fae97f91ca429a69089a1fad523d772597ace_364CBB655E7D4A90B83A060A39.flac,La La Land - City of Stars.flac,flac,48000,PCM_16,2,138.11,23099305,7c3447d9032b1c48c8e98011508fae97f91ca429a69089a1fad523d772597ace,2026-08-26T07:25:16.605331,active,normal,artist:La La Land,song:La La Land:City of Stars,False,False,/Users/m.jian/music_corpus_project/data/01_preprocess/processed_master/2d/f1/2df180ac6c5df261cc325f244a2b4af4_364CBB655E7D4A90B83A060A39.flac,c6ce3e8010670a90c09ff107ba4afbd0,success,4,0.6796361,-1,True,0.0,normal,,True,,,,,train,train,True
